"","Isolate","Accession_number","Collection_time","Country","Continent","Clade","Source"
"107","ERR229933","ERR229933",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"108","ERR144551","ERR144551",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"109","ERR234590","ERR234590",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"110","ERR228061","ERR228061",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"111","ERR117468","ERR117468",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"112","ERR234565","ERR234565",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"113","ERR144556","ERR144556",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"114","ERR234666","ERR234666",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"115","ERR234570","ERR234570",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"116","ERR228046","ERR228046",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"117","ERR067652","ERR067652",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"118","ERR067662","ERR067662",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"119","ERR158586","ERR158586",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"120","ERR067711","ERR067711",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"121","ERR234618","ERR234618",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"122","ERR229921","ERR229921",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"123","ERR229918","ERR229918",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"124","ERR229980","ERR229980",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"125","ERR234633","ERR234633",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"126","ERR067710","ERR067710",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"127","ERR137237","ERR137237",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"128","ERR234622","ERR234622",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"129","ERR067651","ERR067651",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"130","ERR067650","ERR067650",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"131","ERR133860","ERR133860",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"132","ERR234560","ERR234560",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"133","ERR234595","ERR234595",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"134","ERR133915","ERR133915",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"135","ERR108493","ERR108493",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"136","ERR144590","ERR144590",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"137","ERR067663","ERR067663",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"138","ERR137230","ERR137230",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"139","ERR067592","ERR067592",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"140","ERR133885","ERR133885",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"141","ERR067635","ERR067635",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"142","ERR067704","ERR067704",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"143","ERR133827","ERR133827",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"144","ERR133866","ERR133866",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"145","ERR108503","ERR108503",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"146","ERR137248","ERR137248",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"147","ERR234637","ERR234637",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"148","ERR230008","ERR230008",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"149","ERR234608","ERR234608",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"150","ERR067765","ERR067765",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"151","ERR108489","ERR108489",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"152","ERR144628","ERR144628",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"153","ERR133944","ERR133944",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"154","ERR144611","ERR144611",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"155","ERR234602","ERR234602",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"156","ERR137275","ERR137275",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"157","ERR234574","ERR234574",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"158","ERR133953","ERR133953",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"159","ERR144553","ERR144553",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"160","ERR137272","ERR137272",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"161","ERR117460","ERR117460",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"162","ERR144548","ERR144548",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"163","ERR144562","ERR144562",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"164","ERR067623","ERR067623",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"165","ERR234596","ERR234596",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"166","ERR227995","ERR227995",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"167","ERR108467","ERR108467",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"168","ERR144561","ERR144561",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"169","ERR133839","ERR133839",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"170","ERR144575","ERR144575",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"171","ERR228013","ERR228013",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"172","ERR133931","ERR133931",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"173","ERR234573","ERR234573",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"174","ERR144574","ERR144574",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"175","ERR067687","ERR067687",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"176","ERR144620","ERR144620",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"177","ERR133908","ERR133908",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"178","ERR228042","ERR228042",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"179","ERR228050","ERR228050",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"180","ERR228012","ERR228012",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"181","ERR227987","ERR227987",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"182","ERR133957","ERR133957",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"183","ERR137260","ERR137260",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"184","ERR229998","ERR229998",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"185","ERR067660","ERR067660",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"186","ERR234563","ERR234563",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"187","ERR067619","ERR067619",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"188","ERR137246","ERR137246",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"189","ERR133805","ERR133805",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"190","ERR067618","ERR067618",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"191","ERR234606","ERR234606",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"192","ERR228003","ERR228003",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"193","ERR067622","ERR067622",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"194","ERR133919","ERR133919",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"195","ERR133910","ERR133910",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"196","ERR067709","ERR067709",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"197","ERR144636","ERR144636",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"198","ERR067653","ERR067653",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"199","ERR137223","ERR137223",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"200","ERR067717","ERR067717",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"201","ERR228043","ERR228043",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"202","ERR108507","ERR108507",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"203","ERR067621","ERR067621",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"204","ERR067630","ERR067630",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"205","ERR144619","ERR144619",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"206","ERR067643","ERR067643",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"207","ERR229984","ERR229984",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"208","ERR067627","ERR067627",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"209","ERR067581","ERR067581",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"210","ERR133927","ERR133927",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"211","ERR229978","ERR229978",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"212","ERR234575","ERR234575",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"213","ERR133844","ERR133844",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"214","ERR230000","ERR230000",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"215","ERR108498","ERR108498",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"216","ERR108515","ERR108515",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"217","ERR158602","ERR158602",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"218","ERR117462","ERR117462",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"219","ERR229947","ERR229947",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"220","ERR133867","ERR133867",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"221","ERR133935","ERR133935",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"222","ERR229997","ERR229997",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"223","ERR108510","ERR108510",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"224","ERR133984","ERR133984",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"225","ERR108469","ERR108469",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"226","ERR067605","ERR067605",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"227","ERR144558","ERR144558",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"228","ERR229961","ERR229961",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"229","ERR158570","ERR158570",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"230","ERR229957","ERR229957",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"231","ERR133891","ERR133891",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"232","ERR234664","ERR234664",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"233","ERR133925","ERR133925",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"234","ERR133950","ERR133950",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"235","ERR133898","ERR133898",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"236","ERR137285","ERR137285",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"237","ERR229977","ERR229977",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"238","ERR067746","ERR067746",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"239","ERR234619","ERR234619",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"240","ERR144550","ERR144550",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"241","ERR230010","ERR230010",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"242","ERR144609","ERR144609",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"243","ERR229975","ERR229975",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"244","ERR067688","ERR067688",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"245","ERR234559","ERR234559",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"246","ERR108490","ERR108490",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"247","ERR117455","ERR117455",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"248","ERR137249","ERR137249",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"249","ERR144606","ERR144606",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"250","ERR133941","ERR133941",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"251","ERR137278","ERR137278",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"252","ERR133948","ERR133948",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"253","ERR158575","ERR158575",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"254","ERR108434","ERR108434",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"255","ERR137215","ERR137215",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
