"","Isolate","Accession_number","Collection_time","Location","Global_clade","Source"
"174","A/Taiwan/1449/2011","EPI_ISL_101340",2011.823,"Taiwan","3C","GISAID"
"175","A/Hangzhou/B360/2012","EPI_ISL_191124",2012.6,"Hangzhou","3C","GISAID"
"176","A/Wellington/3/2012","EPI_ISL_128646",2012.389,"Wellington","3C","GISAID"
"177","A/Wellington/49/2012","EPI_ISL_134480",2012.589,"Wellington","3C","GISAID"
"178","A/Christchurch/516/2012","EPI_ISL_128644",2012.515,"Christchurch","3C","GISAID"
"179","A/Venezuela/72/2012","EPI_ISL_129162",2012.485,"Venezuela","3C","GISAID"
"180","A/Thailand/MR11632/2012","EPI_ISL_208802",2012.602,"Thailand","3C","GISAID"
"181","A/Wisconsin/20/2012","EPI_ISL_127830",2012.561,"Wisconsin","3C","GISAID"
"182","A/Yamaguchi/23/2012","EPI_ISL_128328",2012.367,"Yamaguchi","3C","GISAID"
"183","A/Haryana/9932/2012","EPI_ISL_161480",2012.887,"Haryana","3C","GISAID"
"184","A/Dnipro/509/2013","EPI_ISL_145039",2013.253,"Dnipro","3C","GISAID"
"185","A/Delhi/9874/2012","EPI_ISL_161479",2012.827,"Delhi","3C","GISAID"
"186","A/HongKong/15/2013","EPI_ISL_136376",2012.982,"HongKong","3C","GISAID"
"187","A/Mauritius/610/2013","EPI_ISL_150600",2013.536,"Mauritius","3C","GISAID"
"188","A/Wisconsin/56/2012","EPI_ISL_196079",2012.985,"Wisconsin","3C.3","GISAID"
"189","A/Taiwan/880/2012","EPI_ISL_132584",2012.504,"Taiwan","3C.3","GISAID"
"190","A/HongKong/1036/2013","EPI_ISL_144522",2013.152,"HongKong","3C.3","GISAID"
"191","A/Washington/50/2012","EPI_ISL_129773",2012.736,"Washington","3C.3","GISAID"
"192","A/Yokohama/155/2012","EPI_ISL_132221",2012.693,"Yokohama","3C.3","GISAID"
"193","A/Latvia/1-32593/2013","EPI_ISL_136386",2013.015,"Latvia","3C.3","GISAID"
"194","A/Vladivostok/1/2013","EPI_ISL_148741",2013.056,"Vladivostok","3C.3","GISAID"
"195","A/Vladivostok/73/2013","EPI_ISL_145469",2013.242,"Vladivostok","3C.3","GISAID"
"196","A/Yamagata/31/2014","EPI_ISL_158175",2014.078,"Yamagata","3C.3","GISAID"
"197","A/India/LKO4167/2013","EPI_ISL_161376",2013.719,"India","3C.3","GISAID"
"198","A/Vietnam/1/2014","EPI_ISL_192827",2014.023,"Vietnam","3C.3","GISAID"
"199","A/Wakayama/157/2013","EPI_ISL_158887",2013.979,"Wakayama","3C.3","GISAID"
"200","A/TianjinHedong/1107/2013","EPI_ISL_155729",2013.218,"TianjinHedong","3C.3","GISAID"
"201","A/Hangzhou/A544/2013","EPI_ISL_191136",2013.653,"Hangzhou","3C.3","GISAID"
"202","A/Yunnan-Wenshan/1329/2013","EPI_ISL_153333",2013.842,"Yunnan-Wenshan","3C.3","GISAID"
"203","A/Sichuan-Qingyang/1547/2013","EPI_ISL_153311",2013.733,"Sichuan-Qingyang","3C.3","GISAID"
"204","A/Wisconsin/6/2013","EPI_ISL_139915",2013.174,"Wisconsin","3C.3","GISAID"
"205","A/SouthAustralia/176/2012","EPI_ISL_137784",2012.908,"SouthAustralia","3C.3","GISAID"
"206","A/Arges/126697/2012","EPI_ISL_134079",2012.827,"Arges","3C.3","GISAID"
"207","A/Helsinki/991/2013","EPI_ISL_151127",2013.166,"Helsinki","3C.3","GISAID"
"208","A/Mauritius/167/2013","EPI_ISL_150598",2013.19,"Mauritius","3C.3","GISAID"
"209","A/Belgium/G0528/2013","EPI_ISL_144792",2013.095,"Belgium","3C.3","GISAID"
"210","A/Paris/91/2013","EPI_ISL_136462",2013.01,"Paris","3C.3","GISAID"
"211","A/Vietnam/481/2013","EPI_ISL_153526",2013.758,"Vietnam","3C.3","GISAID"
"212","A/Bulgaria/270/2013","EPI_ISL_141668",2013.095,"Bulgaria","3C.3","GISAID"
"213","A/Dakar/25/2012","EPI_ISL_136368",2012.731,"Dakar","3C.3","GISAID"
"214","A/Nepal/23/2013","EPI_ISL_148075",2013.084,"Nepal","3C.3","GISAID"
"215","A/StPetersburg/22/2013","EPI_ISL_140995",2013.253,"StPetersburg","3C.3","GISAID"
"216","A/Tunisia/14680/2013","EPI_ISL_153948",2013.895,"Tunisia","3C.3","GISAID"
"217","A/Togo/LNG/398","EPI_ISL_162151",2013,"Togo","2013.823","GISAID"
"218","A/Panama/313131/2013","EPI_ISL_145681",2013.459,"Panama","3C.3","GISAID"
"219","A/Peru/114/2013","EPI_ISL_143252",2013.281,"Peru","3C.3","GISAID"
"220","A/Wisconsin/8/2013","EPI_ISL_140986",2013.267,"Wisconsin","3C.3","GISAID"
"221","A/Iceland/56/2013","EPI_ISL_144801",2013.316,"Iceland","3C.3","GISAID"
"222","A/Iceland/4311/2013","EPI_ISL_144800",2013.196,"Iceland","3C.3","GISAID"
"223","A/Santiago/82830/2013","EPI_ISL_157083",2013.947,"Santiago","3C.3","GISAID"
"224","A/RioGrande/LACENRS-3171/2013","EPI_ISL_263262",2013.612,"RioGrande","3C.3","GISAID"
"225","A/Wyoming/5/2013","EPI_ISL_151809",2013.815,"Wyoming","3C.3","GISAID"
"226","A/SaoBorja/LACENRS-2679/2013","EPI_ISL_263212",2013.558,"SaoBorja","3C.3","GISAID"
"227","A/Pakistan/499/2013","EPI_ISL_162602",2013.656,"Pakistan","3C.3","GISAID"
"228","A/Nepal/998B/2013","EPI_ISL_174839",2013.525,"Nepal","3C.3","GISAID"
"229","A/Srilanka/68/2013","EPI_ISL_161894",2013.867,"Srilanka","3C.3","GISAID"
"230","A/Latvia/1-37023/2013","EPI_ISL_136387",2013.034,"Latvia","3C.3","GISAID"
"231","A/Wyoming/3/2013","EPI_ISL_138967",2013.105,"Wyoming","3C.3","GISAID"
"232","A/Tehran/63151/2013","EPI_ISL_154779",2013.826,"Tehran","3C.3","GISAID"
"233","A/Netherlands/2247/2013","EPI_ISL_153710",2013.81,"Netherlands","3C.3","GISAID"
"234","A/Parana/88/2014","EPI_ISL_166798",2014.188,"Parana","3C.3","GISAID"
"235","A/Brazil/4964/2013","EPI_ISL_157765",2013.856,"Brazil","3C.3","GISAID"
"236","A/Madagascar/493/2014","EPI_ISL_179363",2014.133,"Madagascar","3C.3","GISAID"
"237","A/Madagascar/41/2014","EPI_ISL_159635",2014.015,"Madagascar","3C.3","GISAID"
"238","A/Valparaiso/14542/2013","EPI_ISL_140994",2013.16,"Valparaiso","3C.3","GISAID"
"239","A/PuertoRico/19/2013","EPI_ISL_150179",2013.705,"PuertoRico","3C.3","GISAID"
"240","A/Leskovac/1655/2013","EPI_ISL_153173",2013.196,"Leskovac","3C.3","GISAID"
"241","A/Waikato/1/2013","EPI_ISL_145323",2013.199,"Waikato","3C.3","GISAID"
"242","A/Ireland/M26695/2013","EPI_ISL_145947",2013.232,"Ireland","3C.3","GISAID"
"243","A/Latvia/12019591/2013","EPI_ISL_154032",2013.941,"Latvia","3C.3","GISAID"
"244","A/Tokyo/13084/2013","EPI_ISL_146072",2013.421,"Tokyo","3C.3","GISAID"
"245","A/Taiwan/741/2013","EPI_ISL_145566",2013.47,"Taiwan","3C.3","GISAID"
"246","A/NewJersey/5/2013","EPI_ISL_143672",2013.368,"NewJersey","3C.3","GISAID"
"247","A/HongKong/43/2013","EPI_ISL_136377",2013.004,"HongKong","3C.3","GISAID"
"248","A/Iceland/4/2013","EPI_ISL_144023",2013.01,"Iceland","3C.3","GISAID"
"249","A/Wyoming/2/2014","EPI_ISL_157101",2014.012,"Wyoming","3C.3","GISAID"
"250","A/Yokohama/155/2013","EPI_ISL_152897",2013.67,"Yokohama","3C.3","GISAID"
"251","A/Yokohama/153/2013","EPI_ISL_143708",2013.278,"Yokohama","3C.3","GISAID"
"252","A/Dakar/20/2013","EPI_ISL_148466",2013.333,"Dakar","3C.3","GISAID"
"253","A/Victoria/500/2013","EPI_ISL_145321",2013.327,"Victoria","3C.3","GISAID"
"254","A/India/5757/2014","EPI_ISL_164429",2014.029,"India","3C.3","GISAID"
"255","A/Victoria/657/2013","EPI_ISL_161317",2013.829,"Victoria","3C.3","GISAID"
"256","A/Tasmania/3/2014","EPI_ISL_288232",2014.015,"Tasmania","3C.3","GISAID"
"257","A/Tasmania/8/2014","EPI_ISL_165895",2014.127,"Tasmania","3C.3","GISAID"
"258","A/Bulgaria/827/2014","EPI_ISL_162102",2014.116,"Bulgaria","3C.3","GISAID"
"259","A/Yokohama/160/2013","EPI_ISL_152908",2013.897,"Yokohama","3C.3","GISAID"
"260","A/Wellington/24/2014","EPI_ISL_168947",2014.514,"Wellington","3C.3","GISAID"
"261","A/Ireland/23577/2014","EPI_ISL_164234",2014.278,"Ireland","3C.3","GISAID"
"262","A/Victoria/232/2013","EPI_ISL_161322",2013.862,"Victoria","3C.3","GISAID"
"263","A/Vietnam/210/2014","EPI_ISL_177542",2014.453,"Vietnam","3C.3","GISAID"
"264","A/Washington/18/2013","EPI_ISL_166309",2013.911,"Washington","3C.3","GISAID"
"265","A/StPetersburg/RII429S/2014","EPI_ISL_158769",2014.092,"StPetersburg","3C.3","GISAID"
"266","A/StPetersburg/428/2013","EPI_ISL_151801",2013.692,"StPetersburg","3C.3","GISAID"
"267","A/Macedonia/IK/2014","EPI_ISL_159633",2014.114,"Macedonia","3C.3","GISAID"
"268","A/Yaroslavl/234/2014","EPI_ISL_165589",2014.218,"Yaroslavl","3C.3","GISAID"
"269","A/Uruguay/180/2014","EPI_ISL_166827",2014.44,"Uruguay","3C.3","GISAID"
"270","A/India/LKO3491/2013","EPI_ISL_161359",2013.19,"India","3C.3","GISAID"
"271","A/Texas/14/2013","EPI_ISL_145675",2013.601,"Texas","3C.3","GISAID"
"272","A/Nepal/481/2013","EPI_ISL_166849",2013.601,"Nepal","3C.3","GISAID"
"273","A/Nepal/413/2013","EPI_ISL_148078",2013.459,"Nepal","3C.3","GISAID"
"274","A/Van/354/2014","EPI_ISL_159639",2014.045,"Van","3C.3","GISAID"
"275","A/Kazakhstan/3291/2013","EPI_ISL_154754",2013.864,"Kazakhstan","3C.3","GISAID"
"276","A/RioGrandedoNorte/130380-IEC/2014","EPI_ISL_168551",2014.396,"RioGrandedoNorte","3C.3","GISAID"
"277","A/CruzAlta/LACENRS-2045/2014","EPI_ISL_263268",2014.634,"CruzAlta","3C.3","GISAID"
"278","A/Brazil/9879/2014","EPI_ISL_168114",2014.13,"Brazil","3C.3","GISAID"
"279","A/Iceland/8202/2014","EPI_ISL_164226",2014.44,"Iceland","3C.3","GISAID"
"280","A/Tocantins/16261/2015","EPI_ISL_176764",2015.133,"Tocantins","3C.3","GISAID"
"281","A/Paraguay/3144/2014","EPI_ISL_172529",2014.886,"Paraguay","3C.3","GISAID"
"282","A/Bage/LACENRS-1200/2014","EPI_ISL_263274",2014.475,"Bage","3C.3","GISAID"
