"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source","Collection_year"
"137","FR5579","ERR5102065","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"138","FR5685","ERR5102066","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"139","FR5686","ERR5102067","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"140","FR5697","ERR5102068","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"141","FR5713","ERR5102069","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"142","FR5714","ERR5102070","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"143","FR5742","ERR5102071","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"144","FR5746","ERR5102072","2013","France","Europe","ptxP3/fim3-2","NCBI",NA
"145","FR5772","ERR5102073","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"146","FR5781","ERR5102074","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"147","FR5845","ERR5102075","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"148","FR5851","ERR5102076","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"149","FR5875","ERR5102077","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"150","FR5916","ERR5102078","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"151","FR5938","ERR5102079","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"152","FR5947","ERR5102080","2014","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"153","FR5952","ERR5102081","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"154","FR5956","ERR5102082","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"155","FR5982","ERR5102083","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"156","FR5991","ERR5102084","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"157","FR5998","ERR5102085","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"158","FR5999","ERR5102086","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"159","FR6024","ERR5102087","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"160","FR6035","ERR5102088","2015","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
